date,city,count
22-04-2020,hyderabad,19
23-04-2020,hyderabad,10
24-04-2020,hyderabad,13
25-04-2020,hyderabad,0
26-04-2020,hyderabad,6
20-04-2020,ahmedabad,0
21-04-2020,ahmedabad,147
22-04-2020,ahmedabad,125
23-04-2020,ahmedabad,128
24-04-2020,ahmedabad,151
25-04-2020,ahmedabad,169
26-04-2020,ahmedabad,182
20-04-2020,chennai,0
21-04-2020,chennai,18
22-04-2020,chennai,55
23-04-2020,chennai,15
24-04-2020,chennai,27
25-04-2020,chennai,52
26-04-2020,chennai,43
20-04-2020,kolkata,0
21-04-2020,kolkata,0
22-04-2020,kolkata,0
23-04-2020,kolkata,0
24-04-2020,kolkata,0
25-04-2020,kolkata,0
26-04-2020,kolkata,0
20-04-2020,surat,0
21-04-2020,surat,27
22-04-2020,surat,78
23-04-2020,surat,68
24-04-2020,surat,41
25-04-2020,surat,6
26-04-2020,surat,34
20-04-2020,pune,0
21-04-2020,pune,52
22-04-2020,pune,53
23-04-2020,pune,89
24-04-2020,pune,105
25-04-2020,pune,51
26-04-2020,pune,69
20-04-2020,jaipur,0
21-04-2020,jaipur,50
22-04-2020,jaipur,72
23-04-2020,jaipur,68
24-04-2020,jaipur,15
25-04-2020,jaipur,36
26-04-2020,jaipur,15
20-04-2020,kanpur,0
21-04-2020,kanpur,0
22-04-2020,kanpur,0
23-04-2020,kanpur,0
24-04-2020,kanpur,0
25-04-2020,kanpur,0
26-04-2020,kanpur,0
20-04-2020,nagpur,0
21-04-2020,nagpur,7
22-04-2020,nagpur,10
23-04-2020,nagpur,10
24-04-2020,nagpur,0
25-04-2020,nagpur,1
26-04-2020,nagpur,6
20-04-2020,lucknow,0
21-04-2020,lucknow,2
22-04-2020,lucknow,2
23-04-2020,lucknow,1
24-04-2020,lucknow,4
25-04-2020,lucknow,0
26-04-2020,lucknow,19
20-04-2020,visakhapatnam,0
21-04-2020,visakhapatnam,0
22-04-2020,visakhapatnam,0
23-04-2020,visakhapatnam,0
24-04-2020,visakhapatnam,1
25-04-2020,visakhapatnam,0
26-04-2020,visakhapatnam,0
20-04-2020,thane,0
21-04-2020,thane,55
22-04-2020,thane,44
23-04-2020,thane,30
24-04-2020,thane,117
25-04-2020,thane,48
26-04-2020,thane,74
28-04-2020,mumbai,454.0
29-04-2020,mumbai,505.0
30-04-2020,mumbai,639.0
01-05-2020,mumbai,593.0
02-05-2020,mumbai,799.0
03-05-2020,mumbai,642.0
04-05-2020,mumbai,489.0
05-05-2020,mumbai,693.0
06-05-2020,mumbai,871.0
07-05-2020,mumbai,883.0
08-05-2020,mumbai,804.0
09-05-2020,mumbai,847.0
27-04-2020,delhi,0.0
28-04-2020,delhi,190.0
29-04-2020,delhi,407.0
30-04-2020,delhi,141.0
01-05-2020,delhi,81.0
02-05-2020,delhi,298.0
03-05-2020,delhi,476.0
04-05-2020,delhi,533.0
05-05-2020,delhi,418.0
06-05-2020,delhi,243.0
07-05-2020,delhi,503.0
08-05-2020,delhi,838.0
09-05-2020,delhi,429.0
27-04-2020,bangalore,0.0
28-04-2020,bangalore,1.0
29-04-2020,bangalore,6.0
30-04-2020,bangalore,0.0
01-05-2020,bangalore,13.0
02-05-2020,bangalore,8.0
03-05-2020,bangalore,7.0
04-05-2020,bangalore,5.0
05-05-2020,bangalore,4.0
06-05-2020,bangalore,3.0
07-05-2020,bangalore,2.0
08-05-2020,bangalore,3.0
09-05-2020,bangalore,14.0
27-04-2020,hyderabad,0.0
28-04-2020,hyderabad,2.0
29-04-2020,hyderabad,6.0
30-04-2020,hyderabad,0.0
